Land Registry,Latitude,Longitude,Phone,Email,Hours,Services,Image_URL
Kakamega,0.2825703939,34.75375138,+254 56 2014567,kakamega@landregistry.go.ke,8:00 AM - 5:00 PM,"Land Registration, Mining Survey, Forest Mapping",https://eprocedures.investkenya.go.ke/media/Survey%20of%20kenya.jpg
Vihiga,0.07934434104,34.72442566,+254 56 2114567,vihiga@landregistry.go.ke,8:00 AM - 5:00 PM,"Land Registration, Agricultural Survey",https://eprocedures.investkenya.go.ke/media/Survey%20of%20kenya.jpg
Bungoma,0.5720249843,34.55952724,+254 55 2314567,bungoma@landregistry.go.ke,8:00 AM - 5:00 PM,"Land Registration, Agricultural Survey, Title Processing",https://eprocedures.investkenya.go.ke/media/Survey%20of%20kenya.jpg
Kitui,-1.364628053,38.01420534,+254 44 2214567,kitui@landregistry.go.ke,8:00 AM - 5:00 PM,"Land Registration, Arid Land Survey, Water Point Mapping",https://eprocedures.investkenya.go.ke/media/Survey%20of%20kenya.jpg
Mwingi,-0.9309678322,38.06014952,+254 44 2314567,mwingi@landregistry.go.ke,8:00 AM - 5:00 PM,"Land Registration, Irrigation Survey",https://eprocedures.investkenya.go.ke/media/Survey%20of%20kenya.jpg
Mutomo,-1.848460686,38.21611799,+254 44 2414567,mutomo@landregistry.go.ke,8:00 AM - 5:00 PM,"Land Registration, Mining Survey",https://eprocedures.investkenya.go.ke/media/Survey%20of%20kenya.jpg
Kyuso,-0.5531537141,38.21265814,+254 44 2514567,kyuso@landregistry.go.ke,8:00 AM - 5:00 PM,"Land Registration, Pastoral Survey",https://eprocedures.investkenya.go.ke/media/Survey%20of%20kenya.jpg
Machakos,-1.514082069,37.26906477,+254 44 2614567,machakos@landregistry.go.ke,8:00 AM - 5:00 PM,"Land Registration, Urban Survey, Industrial Survey",https://eprocedures.investkenya.go.ke/media/Survey%20of%20kenya.jpg
Yatta,-1.188539878,37.44738277,+254 44 2714567,yatta@landregistry.go.ke,8:00 AM - 5:00 PM,"Land Registration, Agricultural Survey",https://eprocedures.investkenya.go.ke/media/Survey%20of%20kenya.jpg
Makueni,-1.789305443,37.62157492,+254 44 2814567,makueni@landregistry.go.ke,8:00 AM - 5:00 PM,"Land Registration, Hill Survey, Agricultural Mapping",https://eprocedures.investkenya.go.ke/media/Survey%20of%20kenya.jpg
Kibwezi,-2.408306317,37.96205509,+254 45 2214567,kibwezi@landregistry.go.ke,8:00 AM - 5:00 PM,"Land Registration, Wildlife Survey",https://eprocedures.investkenya.go.ke/media/Survey%20of%20kenya.jpg
Mukaa,-1.790743717,37.21525,+254 44 2914567,mukaa@landregistry.go.ke,8:00 AM - 5:00 PM,"Land Registration, Agricultural Survey",https://eprocedures.investkenya.go.ke/media/Survey%20of%20kenya.jpg
Embu,-0.5325637488,37.45115336,+254 68 2214567,embu@landregistry.go.ke,8:00 AM - 5:00 PM,"Land Registration, Agricultural Survey, Title Deeds",https://eprocedures.investkenya.go.ke/media/Survey%20of%20kenya.jpg
Mbeere,-0.5774542572,37.64246931,+254 68 2314567,mbeere@landregistry.go.ke,8:00 AM - 5:00 PM,"Land Registration, Irrigation Survey",https://eprocedures.investkenya.go.ke/media/Survey%20of%20kenya.jpg
Kiritiri,-0.6802734744,37.64818834,+254 68 2414567,kiritiri@landregistry.go.ke,8:00 AM - 5:00 PM,"Land Registration, Agricultural Survey",https://eprocedures.investkenya.go.ke/media/Survey%20of%20kenya.jpg
Meru Central,0.0468658451,37.64987796,+254 64 2214567,merucentral@landregistry.go.ke,8:00 AM - 5:00 PM,"Land Registration, Agricultural Survey, Forest Mapping",https://eprocedures.investkenya.go.ke/media/Survey%20of%20kenya.jpg
Meru North,0.2325823644,37.94139126,+254 64 2314567,merunorth@landregistry.go.ke,8:00 AM - 5:00 PM,"Land Registration, Pastoral Survey",https://eprocedures.investkenya.go.ke/media/Survey%20of%20kenya.jpg
Tigania West/Uruu,0.1261792445,37.83792338,+254 64 2414567,tiganiawest@landregistry.go.ke,8:00 AM - 5:00 PM,"Land Registration, Agricultural Survey",https://eprocedures.investkenya.go.ke/media/Survey%20of%20kenya.jpg
Tigania East,0.215417029,37.79253847,+254 64 2514567,tiganiaeast@landregistry.go.ke,8:00 AM - 5:00 PM,"Land Registration, Agricultural Survey",https://eprocedures.investkenya.go.ke/media/Survey%20of%20kenya.jpg
Meru South,-0.3330704507,37.64561791,+254 64 2614567,merusouth@landregistry.go.ke,8:00 AM - 5:00 PM,"Land Registration, Agricultural Survey, Coffee Plantation Survey",https://eprocedures.investkenya.go.ke/media/Survey%20of%20kenya.jpg
Marimanti,-0.1539073023,37.96968016,+254 64 2714567,marimanti@landregistry.go.ke,8:00 AM - 5:00 PM,"Land Registration, Wildlife Survey",https://eprocedures.investkenya.go.ke/media/Survey%20of%20kenya.jpg
Isiolo,0.3533539641,37.58716368,+254 65 2214567,isiolo@landregistry.go.ke,8:00 AM - 5:00 PM,"Land Registration, Pastoral Survey, Arid Land Survey",https://eprocedures.investkenya.go.ke/media/Survey%20of%20kenya.jpg
Marsabit,2.325231153,37.9864921,+254 69 2214567,marsabit@landregistry.go.ke,8:00 AM - 5:00 PM,"Land Registration, Pastoral Survey, Desert Survey",https://eprocedures.investkenya.go.ke/media/Survey%20of%20kenya.jpg
Wajir,1.745767657,40.06368838,+254 46 6214567,wajir@landregistry.go.ke,8:00 AM - 5:00 PM,"Land Registration, Pastoral Survey, Border Survey",https://eprocedures.investkenya.go.ke/media/Survey%20of%20kenya.jpg
Kiambu,-1.172319714,36.83189192,+254 66 2214567,kiambu@landregistry.go.ke,8:00 AM - 5:00 PM,"Land Registration, Urban Survey, Industrial Survey",https://eprocedures.investkenya.go.ke/media/Survey%20of%20kenya.jpg
Thika,-1.037627683,37.07356644,+254 67 2214567,thika@landregistry.go.ke,8:00 AM - 5:00 PM,"Land Registration, Industrial Survey, Urban Planning",https://eprocedures.investkenya.go.ke/media/Survey%20of%20kenya.jpg
Ruiru,-1.145755603,36.9600713,+254 67 2314567,ruiru@landregistry.go.ke,8:00 AM - 5:00 PM,"Land Registration, Urban Survey",https://eprocedures.investkenya.go.ke/media/Survey%20of%20kenya.jpg
Gatundu,-1.013960762,36.90460357,+254 67 2414567,gatundu@landregistry.go.ke,8:00 AM - 5:00 PM,"Land Registration, Agricultural Survey",https://eprocedures.investkenya.go.ke/media/Survey%20of%20kenya.jpg
Nyandarua,-0.2892013002,36.37737099,+254 65 3214567,nyandarua@landregistry.go.ke,8:00 AM - 5:00 PM,"Land Registration, Forest Survey, Hill Survey",https://eprocedures.investkenya.go.ke/media/Survey%20of%20kenya.jpg
Samburu,-3.791094801,39.26830668,+254 69 3214567,samburu@landregistry.go.ke,8:00 AM - 5:00 PM,"Land Registration, Pastoral Survey",https://eprocedures.investkenya.go.ke/media/Survey%20of%20kenya.jpg
Kirinyaga,-0.4969841903,37.28327483,+254 60 2214567,kirinyaga@landregistry.go.ke,8:00 AM - 5:00 PM,"Land Registration, Irrigation Survey, Rice Field Survey",https://eprocedures.investkenya.go.ke/media/Survey%20of%20kenya.jpg
Nyeri,-0.419895247,36.94583374,+254 61 2214567,nyeri@landregistry.go.ke,8:00 AM - 5:00 PM,"Land Registration, Forest Survey, Agricultural Survey",https://eprocedures.investkenya.go.ke/media/Survey%20of%20kenya.jpg
Murang'a,-0.7189283858,37.15680205,+254 60 3214567,muranga@landregistry.go.ke,8:00 AM - 5:00 PM,"Land Registration, Coffee Plantation Survey, Hill Survey",https://eprocedures.investkenya.go.ke/media/Survey%20of%20kenya.jpg
Nanyuki,0.0110948811,37.07796331,+254 62 2214567,nanyuki@landregistry.go.ke,8:00 AM - 5:00 PM,"Land Registration, Mountain Survey, Tourism Survey",https://eprocedures.investkenya.go.ke/media/Survey%20of%20kenya.jpg
Rumuruti,0.2632552076,36.53946958,+254 65 4214567,rumuruti@landregistry.go.ke,8:00 AM - 5:00 PM,"Land Registration, Ranch Survey",https://eprocedures.investkenya.go.ke/media/Survey%20of%20kenya.jpg
Nakuru,-0.2874538423,36.0707974,+254 51 2214567,nakuru@landregistry.go.ke,8:00 AM - 5:00 PM,"Land Registration, Lake Survey, Urban Survey",https://eprocedures.investkenya.go.ke/media/Survey%20of%20kenya.jpg
Naivasha,-0.7242888934,36.43593847,+254 50 2214567,naivasha@landregistry.go.ke,8:00 AM - 5:00 PM,"Land Registration, Lake Survey, Geothermal Survey",https://eprocedures.investkenya.go.ke/media/Survey%20of%20kenya.jpg
Kajiado,-1.850376496,36.77288202,+254 45 3214567,kajiado@landregistry.go.ke,8:00 AM - 5:00 PM,"Land Registration, Ranch Survey, Wildlife Survey",https://eprocedures.investkenya.go.ke/media/Survey%20of%20kenya.jpg
Ngong,-1.365963476,36.65472526,+254 45 3314567,ngong@landregistry.go.ke,8:00 AM - 5:00 PM,"Land Registration, Hill Survey",https://eprocedures.investkenya.go.ke/media/Survey%20of%20kenya.jpg
Kajiado West,-1.478259146,36.63136058,+254 45 3414567,kajiadowest@landregistry.go.ke,8:00 AM - 5:00 PM,"Land Registration, Urban Survey",https://eprocedures.investkenya.go.ke/media/Survey%20of%20kenya.jpg
Kajiado South,-2.931385362,37.5023539,+254 45 3514567,kajiadosouth@landregistry.go.ke,8:00 AM - 5:00 PM,"Land Registration, Wildlife Survey",https://eprocedures.investkenya.go.ke/media/Survey%20of%20kenya.jpg
Narok,-1.085366518,35.8661214,+254 50 3214567,narok@landregistry.go.ke,8:00 AM - 5:00 PM,"Land Registration, Wildlife Survey, Tourism Survey",https://eprocedures.investkenya.go.ke/media/Survey%20of%20kenya.jpg
Transmara,-1.004714758,34.87844328,+254 50 3314567,transmara@landregistry.go.ke,8:00 AM - 5:00 PM,"Land Registration, Wildlife Survey",https://eprocedures.investkenya.go.ke/media/Survey%20of%20kenya.jpg
West Pokot,1.248122952,35.112468,+254 54 2214567,westpokot@landregistry.go.ke,8:00 AM - 5:00 PM,"Land Registration, Pastoral Survey, Hill Survey",https://eprocedures.investkenya.go.ke/media/Survey%20of%20kenya.jpg
Transnzoia,1.013611812,34.99959107,+254 54 2314567,transnzoia@landregistry.go.ke,8:00 AM - 5:00 PM,"Land Registration, Agricultural Survey",https://eprocedures.investkenya.go.ke/media/Survey%20of%20kenya.jpg
Uasin Gishu,0.5243037755,35.27678733,+254 53 2214567,uasingishu@landregistry.go.ke,8:00 AM - 5:00 PM,"Land Registration, Agricultural Survey, Grain Farm Survey",https://eprocedures.investkenya.go.ke/media/Survey%20of%20kenya.jpg
Keiyo,0.6609878498,35.49908605,+254 53 2314567,keiyo@landregistry.go.ke,8:00 AM - 5:00 PM,"Land Registration, Hill Survey",https://eprocedures.investkenya.go.ke/media/Survey%20of%20kenya.jpg
Marakwet,0.9769679388,35.56583663,+254 53 2414567,marakwet@landregistry.go.ke,8:00 AM - 5:00 PM,"Land Registration, Hill Survey, Terrace Survey",https://eprocedures.investkenya.go.ke/media/Survey%20of%20kenya.jpg
Bomet,-0.7866256714,35.33508242,+254 52 2214567,bomet@landregistry.go.ke,8:00 AM - 5:00 PM,"Land Registration, Tea Plantation Survey, Hill Survey",https://eprocedures.investkenya.go.ke/media/Survey%20of%20kenya.jpg
Kabarnet,0.4901507863,35.74377734,+254 53 2514567,kabarnet@landregistry.go.ke,8:00 AM - 5:00 PM,"Land Registration, Hill Survey",https://eprocedures.investkenya.go.ke/media/Survey%20of%20kenya.jpg
Koibatek,0.04668142287,35.7289234,+254 53 2614567,koibatek@landregistry.go.ke,8:00 AM - 5:00 PM,"Land Registration, Agricultural Survey",https://eprocedures.investkenya.go.ke/media/Survey%20of%20kenya.jpg
Nandi,0.1972375925,35.09824425,+254 53 2714567,nandi@landregistry.go.ke,8:00 AM - 5:00 PM,"Land Registration, Tea Plantation Survey, Forest Survey",https://eprocedures.investkenya.go.ke/media/Survey%20of%20kenya.jpg
Kericho,-0.3698683944,35.27928769,+254 52 2314567,kericho@landregistry.go.ke,8:00 AM - 5:00 PM,"Land Registration, Tea Plantation Survey, Hill Survey",https://eprocedures.investkenya.go.ke/media/Survey%20of%20kenya.jpg
Bureti,-0.5866962423,35.19739429,+254 52 2414567,bureti@landregistry.go.ke,8:00 AM - 5:00 PM,"Land Registration, Tea Plantation Survey",https://eprocedures.investkenya.go.ke/media/Survey%20of%20kenya.jpg
Nyamira,-0.5591189749,34.93337238,+254 58 2214567,nyamira@landregistry.go.ke,8:00 AM - 5:00 PM,"Land Registration, Hill Survey, Agricultural Survey",https://eprocedures.investkenya.go.ke/media/Survey%20of%20kenya.jpg
Borabu,-0.7636869465,35.01719394,+254 58 2314567,borabu@landregistry.go.ke,8:00 AM - 5:00 PM,"Land Registration, Agricultural Survey",https://eprocedures.investkenya.go.ke/media/Survey%20of%20kenya.jpg
Kisii,-0.6789728814,34.77267599,+254 58 2414567,kisii@landregistry.go.ke,8:00 AM - 5:00 PM,"Land Registration, Hill Survey, Agricultural Survey",https://eprocedures.investkenya.go.ke/media/Survey%20of%20kenya.jpg
Kisumu,-0.1042883824,34.7559714,+254 57 2214567,kisumu@landregistry.go.ke,8:00 AM - 5:00 PM,"Land Registration, Lake Survey, Urban Survey",https://eprocedures.investkenya.go.ke/media/Survey%20of%20kenya.jpg
Nyando,-0.1655407416,35.08026519,+254 57 2314567,nyando@landregistry.go.ke,8:00 AM - 5:00 PM,"Land Registration, Agricultural Survey, Irrigation Survey",https://eprocedures.investkenya.go.ke/media/Survey%20of%20kenya.jpg
Siaya,0.05737430356,34.28681517,+254 57 2414567,siaya@landregistry.go.ke,8:00 AM - 5:00 PM,"Land Registration, Agricultural Survey",https://eprocedures.investkenya.go.ke/media/Survey%20of%20kenya.jpg
Bondo,-0.09743838297,34.27555458,+254 57 2514567,bondo@landregistry.go.ke,8:00 AM - 5:00 PM,"Land Registration, Lake Survey",https://eprocedures.investkenya.go.ke/media/Survey%20of%20kenya.jpg
Ugenya,0.1933341563,34.18980486,+254 57 2614567,ugenya@landregistry.go.ke,8:00 AM - 5:00 PM,"Land Registration, Agricultural Survey",https://eprocedures.investkenya.go.ke/media/Survey%20of%20kenya.jpg
Ugunja,0.0573517141,34.28685223,+254 57 2714567,ugunja@landregistry.go.ke,8:00 AM - 5:00 PM,"Land Registration, Agricultural Survey",https://eprocedures.investkenya.go.ke/media/Survey%20of%20kenya.jpg
Homabay,-0.5278839656,34.45982256,+254 59 2214567,homabay@landregistry.go.ke,8:00 AM - 5:00 PM,"Land Registration, Lake Survey, Fishing Survey",https://eprocedures.investkenya.go.ke/media/Survey%20of%20kenya.jpg
Rachuonyo,-0.4279045341,34.68976086,+254 59 2314567,rachuonyo@landregistry.go.ke,8:00 AM - 5:00 PM,"Land Registration, Lake Survey",https://eprocedures.investkenya.go.ke/media/Survey%20of%20kenya.jpg
Migori,-1.067310134,34.479386,+254 59 2414567,migori@landregistry.go.ke,8:00 AM - 5:00 PM,"Land Registration, Mining Survey, Border Survey",https://eprocedures.investkenya.go.ke/media/Survey%20of%20kenya.jpg
Kuria,-1.182518378,34.62566522,+254 59 2514567,kuria@landregistry.go.ke,8:00 AM - 5:00 PM,"Land Registration, Border Survey",https://eprocedures.investkenya.go.ke/media/Survey%20of%20kenya.jpg
Garissa,-0.4795103835,39.64812816,+254 46 4214567,garissa@landregistry.go.ke,8:00 AM - 5:00 PM,"Land Registration, Pastoral Survey, River Survey",https://eprocedures.investkenya.go.ke/media/Survey%20of%20kenya.jpg
Turkana,3.118424595,35.60197811,+254 54 4214567,turkana@landregistry.go.ke,8:00 AM - 5:00 PM,"Land Registration, Pastoral Survey, Lake Survey",https://eprocedures.investkenya.go.ke/media/Survey%20of%20kenya.jpg
Nairobi,-1.292967409,36.81172988,+254 20 2214567,nairobi@landregistry.go.ke,8:00 AM - 5:00 PM,"Land Registration, Urban Survey, Industrial Survey",https://eprocedures.investkenya.go.ke/media/Survey%20of%20kenya.jpg
Ruaraka,-1.249348459,36.85834634,+254 20 2314567,ruaraka@landregistry.go.ke,8:00 AM - 5:00 PM,"Land Registration, Urban Survey",https://eprocedures.investkenya.go.ke/media/Survey%20of%20kenya.jpg
